account,stage,arr_usd,owner,next_step,risk
Globex,Renewal,120000,Sarah Connor,Schedule Q3 QBR,Medium
Acme Corp,Closed Lost,45000,John Smith,Conduct exit interview,High
Initech,Negotiation,15000,Jane Doe,Send finalized MSA,Low
Soylent,Evaluation,85000,Sarah Connor,Provide technical deep-dive on integrations,High
Massive Dynamic,Closed Won,150000,Bruce Wayne,Hand off to Customer Success,Low
Umbrella Corp,Discovery,60000,John Smith,Identify technical buyer,Medium
Stark Industries,Renewal,200000,Jane Doe,Review security compliance addendum,Low
Wayne Enterprises,Proposal,110000,Bruce Wayne,Send pricing tier options,Medium
Cyberdyne,Evaluation,90000,Sarah Connor,Security architecture review,High
Hooli,Discovery,30000,John Smith,Initial demo call,Low
Pied Piper,Negotiation,40000,Jane Doe,Discount approval from VP,Medium
Dunder Mifflin,Renewal,25000,Bruce Wayne,Check in on user adoption,Low
